subject,task,task_display,group,value
sub-007,j1,J1,Salience/Ventral Attention,0.5182923631813708
sub-007,j1,J1,Limbic,0.5335921364842664
sub-007,j1,J1,Control,0.4478922106873158
sub-007,j1,J1,Default,0.3949721833347352
sub-007,j2,J2,Subcortical,0.18857151205646397
sub-007,j2,J2,Visual,0.15329320279214462
sub-007,j2,J2,Somato-Motor,0.1679192567263885
sub-007,j2,J2,Dorsal Attention,0.16525334130340058
sub-007,j2,J2,Salience/Ventral Attention,0.17511699019413215
sub-007,j2,J2,Limbic,0.22798453415825642
sub-007,j2,J2,Control,0.2189855218033925
sub-007,j2,J2,Default,0.20124252812011237
sub-007,j3,J3,Subcortical,0.16428734876839016
sub-007,j3,J3,Visual,0.25008316853080087
sub-007,j3,J3,Somato-Motor,0.28150067657058375
sub-007,j3,J3,Dorsal Attention,0.28464738422049135
sub-007,j3,J3,Salience/Ventral Attention,0.26204721605690334
sub-007,j3,J3,Limbic,0.2094964895031338
sub-007,j3,J3,Control,0.2420050971231216
sub-007,j3,J3,Default,0.2613093078611309
sub-007,j4,J4,Subcortical,0.1164184121387092
sub-007,j4,J4,Visual,0.2371888237628813
sub-007,j4,J4,Somato-Motor,0.13733903879882303
sub-007,j4,J4,Dorsal Attention,0.22178537852860955
sub-007,j4,J4,Salience/Ventral Attention,0.1725733714385338
sub-007,j4,J4,Limbic,0.10458352059260909
sub-007,j4,J4,Control,0.07481961451134178
sub-007,j4,J4,Default,0.05163869058414197
sub-007,j5,J5,Subcortical,0.08052610722456904
sub-007,j5,J5,Visual,0.11203606928376596
sub-007,j5,J5,Somato-Motor,0.07194221085596512
sub-007,j5,J5,Dorsal Attention,0.10327661396935044
sub-007,j5,J5,Salience/Ventral Attention,0.1661282924395796
sub-007,j5,J5,Limbic,0.13465570351197587
sub-007,j5,J5,Control,0.10871399385075925
sub-007,j5,J5,Default,0.03709005473316425
sub-007,j6,J6,Subcortical,0.24752229316199995
sub-007,j6,J6,Visual,0.4184213824017143
sub-007,j6,J6,Somato-Motor,0.46904472530165536
sub-007,j6,J6,Dorsal Attention,0.3708917246042522
sub-007,j6,J6,Salience/Ventral Attention,0.3696571497537338
sub-007,j6,J6,Limbic,0.20924450595466912
sub-007,j6,J6,Control,0.09802368125325814
sub-007,j6,J6,Default,0.15445808754685186
sub-007,j7,J7,Subcortical,0.2032586361194379
sub-007,j7,J7,Visual,0.353839192330678
sub-007,j7,J7,Somato-Motor,0.4118502468070898
sub-007,j7,J7,Dorsal Attention,0.3691189661856065
sub-007,j7,J7,Salience/Ventral Attention,0.40620031434253195
sub-007,j7,J7,Limbic,0.20101379481763704
sub-007,j7,J7,Control,0.2166466992110659
sub-007,j7,J7,Default,0.21521903878790236
sub-007,j8,J8,Subcortical,0.1464502428730835
sub-007,j8,J8,Visual,0.21770367540992622
sub-007,j8,J8,Somato-Motor,0.21198481980492154
sub-007,j8,J8,Dorsal Attention,0.2344553193202329
sub-007,j8,J8,Salience/Ventral Attention,0.24984573311560015
sub-007,j8,J8,Limbic,0.10941743601214493
sub-007,j8,J8,Control,0.253436123649244
sub-007,j8,J8,Default,0.2018032026419962
sub-008,memory,Memory,Subcortical,0.2779132664256898
sub-008,memory,Memory,Visual,0.42617706628925506
sub-008,memory,Memory,Somato-Motor,0.4156549762806083
sub-008,memory,Memory,Dorsal Attention,0.3740449183409446
sub-008,memory,Memory,Salience/Ventral Attention,0.343402825830094
sub-008,memory,Memory,Limbic,0.2324547698307382
sub-008,memory,Memory,Control,0.2594385512757038
sub-008,memory,Memory,Default,0.31893788428919584
sub-008,counting,Counting,Subcortical,0.20490501236110226
sub-008,counting,Counting,Visual,0.34178787919921927
sub-008,counting,Counting,Somato-Motor,0.32809854110834646
sub-008,counting,Counting,Dorsal Attention,0.3153535030913392
sub-008,counting,Counting,Salience/Ventral Attention,0.2870222902240524
sub-008,counting,Counting,Limbic,0.21079266056103588
sub-008,counting,Counting,Control,0.27143165707289657
sub-008,counting,Counting,Default,0.25215676685391153
sub-008,j1,J1,Subcortical,0.3500244956677398
sub-008,j1,J1,Visual,0.5746403120861239
sub-008,j1,J1,Somato-Motor,0.5341818214560718
sub-008,j1,J1,Dorsal Attention,0.5263136186124956
sub-008,j1,J1,Salience/Ventral Attention,0.4885987034145854
sub-008,j1,J1,Limbic,0.25390339375375404
sub-008,j1,J1,Control,0.456730788393243
sub-008,j1,J1,Default,0.34578069865666167
sub-008,j2,J2,Subcortical,0.4492779554188082
sub-008,j2,J2,Visual,0.6693128380618005
sub-008,j2,J2,Somato-Motor,0.6808199757693499
sub-008,j2,J2,Dorsal Attention,0.6147473894267245
sub-008,j2,J2,Salience/Ventral Attention,0.6507975689953871
sub-008,j2,J2,Limbic,0.5486908370475079
sub-008,j2,J2,Control,0.5971635205255217
sub-008,j2,J2,Default,0.5436652048880518
sub-008,j3,J3,Subcortical,0.2522883667300719
sub-008,j3,J3,Visual,0.3997809585769718
sub-008,j3,J3,Somato-Motor,0.402940404522974
sub-008,j3,J3,Dorsal Attention,0.2834097936793936
sub-008,j3,J3,Salience/Ventral Attention,0.3438142405139315
sub-008,j3,J3,Limbic,0.3526031178171353
sub-008,j3,J3,Control,0.22934608785966018
sub-008,j3,J3,Default,0.2390914727102812
sub-008,j4,J4,Subcortical,0.15626566278415574
sub-008,j4,J4,Visual,0.29592744973872026
sub-008,j4,J4,Somato-Motor,0.2508959578524541
sub-008,j4,J4,Dorsal Attention,0.24200074769736252
sub-008,j4,J4,Salience/Ventral Attention,0.21335431145941433
sub-008,j4,J4,Limbic,0.15340862622719736
sub-008,j4,J4,Control,0.21300789831553696
sub-008,j4,J4,Default,0.2446921498452153
sub-008,j5,J5,Subcortical,0.3774037912067744
sub-008,j5,J5,Visual,0.5564967299051529
sub-008,j5,J5,Somato-Motor,0.5703598688226004
sub-008,j5,J5,Dorsal Attention,0.4073572932160156
sub-008,j5,J5,Salience/Ventral Attention,0.4176211561362411
sub-008,j5,J5,Limbic,0.4259689279255235
sub-008,j5,J5,Control,0.3805670729843603
sub-008,j5,J5,Default,0.503030082638148
sub-008,j6,J6,Subcortical,0.24517640446798025
sub-008,j6,J6,Visual,0.38657470549500766
sub-008,j6,J6,Somato-Motor,0.4134445426765788
sub-008,j6,J6,Dorsal Attention,0.413678713228144
sub-008,j6,J6,Salience/Ventral Attention,0.37720619604638816
sub-008,j6,J6,Limbic,0.2421347848787154
sub-008,j6,J6,Control,0.3805572483988843
sub-008,j6,J6,Default,0.3870744783564207
sub-008,j7,J7,Subcortical,0.3270553164270351
sub-008,j7,J7,Visual,0.4958574251032834
sub-008,j7,J7,Somato-Motor,0.5121591659898557
sub-008,j7,J7,Dorsal Attention,0.49658358317117557
sub-008,j7,J7,Salience/Ventral Attention,0.4804360838071144
sub-008,j7,J7,Limbic,0.33719882959189323
sub-008,j7,J7,Control,0.40827848480378115
sub-008,j7,J7,Default,0.367858335839334
sub-008,j8,J8,Subcortical,0.24473598422755088
sub-008,j8,J8,Visual,0.4206812643089496
sub-008,j8,J8,Somato-Motor,0.40940744278480135
sub-008,j8,J8,Dorsal Attention,0.38585094871095205
sub-008,j8,J8,Salience/Ventral Attention,0.37094449851430084
sub-008,j8,J8,Limbic,0.17828621156623492
sub-008,j8,J8,Control,0.35557240731814155
sub-008,j8,J8,Default,0.33061924490205
sub-010,memory,Memory,Subcortical,0.2644849954612034
sub-010,memory,Memory,Visual,0.5686489276575281
sub-010,memory,Memory,Somato-Motor,0.6263807352059391
sub-010,memory,Memory,Dorsal Attention,0.6276411592631653
sub-010,memory,Memory,Salience/Ventral Attention,0.5968378410488422
sub-010,memory,Memory,Limbic,0.38172908415507206
sub-010,memory,Memory,Control,0.5134655109513155
sub-010,memory,Memory,Default,0.5580404791726106
sub-010,counting,Counting,Subcortical,0.2527667534685862
